keys,zh_CN,en
DOCUMENT_TITLE_MENU,"咖啡厅菜单","Cafe menu"
DOCUMENT_TITLE_CHESS_MOVEMENT,"棋子的移动","Piece movement"
DOCUMENT_TITLE_SIAMESE_CHESS,"关于SiameseChess","About SiameseChess"
history.cafe.json,"与玉兰的对局","The match against Yulan"
history.entrance.json,"大门前的谜题","Puzzle on entrance"
history.hallway_2f.json,"2楼走廊谜题","Puzzle on second floor hallway"
history.basement.json,"地下室的谜题","Puzzle in basement"
history.engine_play.json,"引擎对局","Engine's match"
printed.chess_movements.json,"棋子的移动","Piece movement"
printed.siamesechess.json,"关于SiameseChess","About SiameseChess"
photo.camera.json,"相册","Photos"
DOCUMENT_CONTENT_CREDITS,"[p][center][font_size=30]名单[/font_size][/center][/p][p][center][font_size=16]作者[/font_size][/center][/p][p][center][font_size=22]FaMuLan[/font_size][/center][/p][p][center][font_size=12]作为个人作品，承担了包含游戏机制、游戏关卡、角色、程序、场景等设计工作。[/font_size][/center][/p][p][center][font_size=16]Godot Hub和组织人员[/font_size][/center][/p][p][center][font_size=14][table=2][cell padding=5,5,5,5]沫萝[/cell] [cell padding=5,5,5,5]垂钓老猫[/cell][/table][/font_size][/p][p][font_size=12]以上成员参与了本游戏项目的协助开发、宣发等工作。[/font_size][/center][/p][p][center][font_size=16]致谢[/font_size][/center][/p][p][center][font_size=14][table=4][cell padding=5,5,5,5]Cherz[/cell] [cell padding=5,5,5,5]老蔡-omto[/cell] [cell padding=5,5,5,5]Floodin13[/cell] [cell padding=5,5,5,5]fdsts[/cell] [cell padding=5,5,5,5]Kinbote[/cell] [cell padding=5,5,5,5]负离子[/cell] [cell padding=5,5,5,5]正离子[/cell][/table][/font_size][/center][/p][p][center][font_size=12]以上成员对于本游戏及其作者给予积极的反馈和精神支持。[/font_size][/center][/p]","[p][center][font_size=30]Credits[/font_size][/center][/p][p][center][font_size=16]Author[/font_size][/center][/p][p][center][font_size=22]FaMuLan[/font_size][/center][/p][p][center][font_size=10]The author who design most of content including game mechanics, levels, characters, programming, scene etc.[/font_size][/center][/p][p][center][font_size=12]Godot Hub and the members[/font_size][/center][/p][p][center][font_size=14][table=2][cell padding=5,5,5,5]沫萝[/cell] [cell padding=5,5,5,5]垂钓老猫[/cell][/table][/font_size][/center][/p][p][center][font_size=10]The members who give help directly on this project.[/font_size][/center][/p][p][center][font_size=12]Acknowledge[/font_size][/center][/p][p][center][font_size=14][table=4][cell padding=5,5,5,5]Cherz[/cell] [cell padding=5,5,5,5]老蔡-omto[/cell] [cell padding=5,5,5,5]Floodin13[/cell] [cell padding=5,5,5,5]fdsts[/cell] [cell padding=5,5,5,5]Kinbote[/cell] [cell padding=5,5,5,5]负离子[/cell] [cell padding=5,5,5,5]正离子[/cell][/table][/font_size][/center][/p][p][center][font_size=10]the members who support this game and its author, in various ways.[/font_size][/center][/p]"
