keys,zh_CN,en
SIAMESE_CHESS,"暹罗猫象棋","SiameseChess"
PIECE_WHITE,"白","White"
PIECE_BLACK,"黑","Black"
PIECE_NEUTRAL,"其他","Others"
PIECE_KING,"王","King"
PIECE_QUEEN,"后","Queen"
PIECE_ROOK,"车","Rook"
PIECE_BISHOP,"象","Bishop"
PIECE_KNIGHT,"马","Knight"
PIECE_PAWN,"兵","Pawn"
PIECE_WHITE_KING,"白王","White King"
PIECE_WHITE_QUEEN,"白后","White Queen"
PIECE_WHITE_ROOK,"白车","White Rook"
PIECE_WHITE_BISHOP,"白象","White Bishop"
PIECE_WHITE_KNIGHT,"白马","White Knight"
PIECE_WHITE_PAWN,"白兵","White Pawn"
PIECE_BLACK_KING,"黑王","Black King"
PIECE_BLACK_QUEEN,"黑后","Black Queen"
PIECE_BLACK_ROOK,"黑车","Black Rook"
PIECE_BLACK_BISHOP,"黑象","Black Bishop"
PIECE_BLACK_KNIGHT,"黑马","Black Knight"
PIECE_BLACK_PAWN,"黑兵","Black Pawn"
PIECE_BARRIER,"障碍","Barrier"
PIECE_BREAKABLE_BARRIER,"可破坏障碍物","Breakable Barrier"
PIECE_REMOVE,"移除","Remove"
WALL_FILE,"东墙","Horizontal Wall"
WALL_RANK,"南墙","Vertical Wall"
WALL_DIAG,"东南墙","Diagonal Wall"
CHAR_LOTUS,"莲","Lotus"
CHAR_YULAN,"玉兰","Yulan"
CHAR_CARNATION,"康乃馨","Carnation"
CHAR_SYSTEM,"系统","System"
CHAR_UNKNOWN,"未知","Unknown"
SELECTION_GOTO,"前往","Go there"
SELECTION_GOTO?,"前往？","Go there?"
SELECTION_STATUS,"状态","Status"
SELECTION_PIECES,"棋子","Pieces"
SELECTION_REMOVE_PIECE,"移除","Remove"
SELECTION_DOCUMENTS,"文档","Documents"
SELECTION_CAMERA,"相机","Camera"
SELECTION_THIRD_EYE,"解构","Analyse"
SELECTION_SETTINGS,"设置","Settings"
SELECTION_CANCEL,"取消","Cancel"
SELECTION_RESIGN,"认输","Resign"
SELECTION_PLAY_AS_WHITE,"执白","Play as White"
SELECTION_PLAY_AS_BLACK,"执黑","Play as Black"
SELECTION_PLAY_AS_RANDOM,"随机","Random"
SELECTION_LEAVE_GAME,"离开","Leave"
SELECTION_TAKE_BACK,"悔棋","Take back"
SELECTION_IMPORT_FEN,"导入FEN","Import FEN"
SELECTION_FINISH,"完成","Finish"
SELECTION_USE,"使用","Use"
HINT_STATUS,"金钱：%d  赢局：%d","Cash: %d  Wins: %d"
HINT_EXTRA_MOVE,"选择一个着法","Select a move."
HINT_USE_PIECE,"选择一颗棋子","Select a piece."
HINT_SELECT_SQUARE,"选择一格位置","Select a square."
HINT_ENEMY_SPOTTED,"他们看到你了！","They found you!"
HINT_YOUR_TURN,"轮到你了！", "It's your turn!"
HINT_EDIT,"编辑","Edit"
HINT_INPUT_FEN,"输入FEN格式的布局：","Input position by FEN format:"
HINT_CHOOSE_SIDE,"选择执棋方","Choose side"
HINT_TAKE_BACKED,"已回退","Take backed"
HINT_YOU_WIN,"你赢了!","You win!"
HINT_YOU_LOSE,"你输了!","You lose!"
HINT_DRAW,"平局","Draw game"
HINT_WHITE_CHECKMATE,"白方将杀胜利","White checkmate"
HINT_BLACK_CHECKMATE,"黑方将杀胜利","Black checkmate"
HINT_WHITE_CLEARED,"白方消灭所有子力","White cleared"
HINT_BLACK_CLEARED,"黑方消灭所有子力","Black cleared"
HINT_GET_PIECE,"你获得了一颗棋子","You got a piece!"
HINT_GET_PIECE_FIRST_TIME,"在“棋子”页面中使用这颗棋子","Grab it at 'Pieces' option."
HINT_ADD_PIECE,"添加棋子","Place a piece"
HINT_ILLEGAL_FORMAT,"格式非法","Illegal format"
HINT_CANT_LEAVE,"还不能离开。","Can't leave now."
HINT_ACCESS_DENIED,"无访问权限","Access denied."
TITLE_SETTINGS,"设置","Settings"
TITLE_CONCLUDE,"游戏结束","Game Over"
SETTINGS_TAB_GAME,"游戏机制","Game Mechanics"
SETTINGS_TAB_VIDEO_AUDIO,"视觉和听觉","Video/Audio"
SETTINGS_TAB_CONTROL,"控制","Control"
SETTINGS_TAB_ACCESSIBILITY,"辅助","Accessibility"
SETTINGS_TAB_FILES,"文件管理","Files"
SETTINGS_RESOLUTION,"分辨率","Resolution"
SETTINGS_CONTENT_SCALE,"界面缩放","User Interface Scale"
SETTINGS_FULLSCREEN,"全屏","Fullscreen"
SETTINGS_FPS,"帧率","Frame Per Seconds"
SETTINGS_FPS_10,"10帧/秒","10FPS"
SETTINGS_FPS_30,"30帧/秒","30FPS"
SETTINGS_FPS_60,"60帧/秒","60FPS"
SETTINGS_FPS_90,"90帧/秒","90FPS"
SETTINGS_FPS_120,"120帧/秒","120FPS"
SETTINGS_FPS_144,"144帧/秒","144FPS"
SETTINGS_FPS_UNLIMITED,"无限制","Unlimited"
SETTINGS_VSYNC,"垂直同步","Vertical Synchronization"
SETTINGS_MASTER_VOLUME,"主音量","Master Volume"
SETTINGS_SFX_VOLUME,"效果音","Sound Effect Volume"
SETTINGS_ENV_VOLUME,"环境音","Environment Volume"
SETTINGS_CAMERA_MOVE_SPEED,"相机移动速度","Camera move speed"
SETTINGS_CAMERA_ROTATE_SENSITIVE,"相机旋转速度","Camera rotate sensitive"
SETTINGS_CAMERA_ROTATE_AXIS,"相机旋转方向","Camera rotate axis"
SETTINGS_CAMERA_AXIS_0,"无反转","No Invert"
SETTINGS_CAMERA_AXIS_1,"Y轴反转","Invert Y"
SETTINGS_CAMERA_AXIS_2,"X轴反转","Invert X"
SETTINGS_CAMERA_AXIS_3,"全部反转","Invert All"
SETTINGS_LANGUAGE,"语言/Language","Language"
SETTINGS_DIALOG_BORDER,"将边框安排至屏幕两侧","Set border to side screen."
