keys,zh_CN,en
SIAMESE_CHESS,"暹罗猫象棋","SiameseChess"
PIECE_KING,"王","King"
PIECE_QUEEN,"后","Queen"
PIECE_ROOK,"车","Rook"
PIECE_BISHOP,"象","Bishop"
PIECE_KNIGHT,"马","Knight"
PIECE_PAWN,"兵","Pawn"
CHAR_LOTUS,"莲","Lotus"
CHAR_YULAN,"玉兰","Yulan"
CHAR_CARNATION,"康乃馨","Carnation"
SELECTION_GOTO,"前往","Go to"
SELECTION_STATUS,"状态","Status"
SELECTION_PIECES,"棋子","Pieces"
SELECTION_DOCUMENTS,"文档","Documents"
SELECTION_SETTINGS,"设置","Settings"
SELECTION_CANCEL,"取消","Cancel"
SELECTION_LEAVE_GAME,"离开对局","Leave game"
SELECTION_TAKE_BACK,"悔棋","Take back"
HINT_STATUS,"金钱：%d  赢局：%d","Cash: %d  Wins: %d"
HINT_EXTRA_MOVE,"选择一个着法","Select a move."
HINT_USE_PIECE,"选择一颗棋子","Select a piece."
HINT_SELECT_SQUARE,"选择一格位置","Select a square."
HINT_ENEMY_SPOTTED,"他们看到你了！","They found you!"
HINT_YOUR_TURN,"轮到你了！", "It's your turn!"
HINT_TAKE_BACKED,"已回退","Take backed"
HINT_YOU_WIN,"你赢了!","You win!"
HINT_YOU_LOSE,"你输了!","You lose!"
HINT_DRAW,"平局","Draw game"
HINT_WHITE_CHECKMATE,"白方将杀胜利","White checkmate"
HINT_BLACK_CHECKMATE,"黑方将杀胜利","Black checkmate"
YULAN_INTERACT_PLAY_CHESS, "下棋？", "Play Chess?"
YULAN_INTERACT_CUSTOM_POSITION, "自定义布局", "Custom position"
